Statistical profiling result from isolate-0x103000000-v8.log, (2732 ticks, 192 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.1%    0.1%  Builtin: FastArrayPush
      3    0.1%    0.1%  Builtin: CompileLazy
      3    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      3    0.1%    0.1%  Builtin: CallVarargs
      2    0.1%    0.1%  Stub: StringAddStub {2}
      2    0.1%    0.1%  RegExp: ^\\n[ \\t]*\\n
      2    0.1%    0.1%  RegExp: ^- *(?:each|for) +([a-zA-Z_$][\\w$]*)(?: *\, *([a-zA-Z_$][\\w$]*))? +in +([^\\n]+)
      2    0.1%    0.1%  RegExp: ^(enum)$
      2    0.1%    0.1%  LazyCompile: ~while /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:931:20
      2    0.1%    0.1%  LazyCompile: ~tryExtensions module.js:170:23
      2    0.1%    0.1%  LazyCompile: ~toConstant /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/constantinople/lib/index.js:9:24
      2    0.1%    0.1%  LazyCompile: ~tag /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-parser/index.js:1056:16
      2    0.1%    0.1%  LazyCompile: ~realpathSync fs.js:1579:40
      2    0.1%    0.1%  LazyCompile: ~readableAddChunk _stream_readable.js:216:26
      2    0.1%    0.1%  LazyCompile: ~readToken_dot /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:909:61
      2    0.1%    0.1%  LazyCompile: ~prepend /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/pug-lexer/index.js:627:20
      2    0.1%    0.1%  LazyCompile: ~pp.strictDirective /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:537:30
      2    0.1%    0.1%  LazyCompile: ~pp.canInsertSemicolon /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:1728:34
      2    0.1%    0.1%  LazyCompile: ~pp$7.skipSpace /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/is-expression/node_modules/acorn/dist/acorn.js:2781:26
      2    0.1%    0.1%  LazyCompile: ~pp$7.readToken_plus_min /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2640:37
      2    0.1%    0.1%  LazyCompile: ~pp$7.readToken_lt_gt /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2656:34
      2    0.1%    0.1%  LazyCompile: ~pp$7.readToken_dot /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn-globals/node_modules/acorn/dist/acorn.js:2847:30
      2    0.1%    0.1%  LazyCompile: ~pp$7.fullCharCodeAtPos /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:2480:36
      2    0.1%    0.1%  LazyCompile: ~pp$3.parseParenAndDistinguishExpression /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/acorn/dist/acorn.js:1841:53
      2    0.1%    0.1%  LazyCompile: ~pp$3.parseLiteral /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:3775:30
      2    0.1%    0.1%  LazyCompile: ~pp$3.parseExprListItem /Users/macbookproretina13/Projects/in-learning/rock-paper-scissors/node_modules/babylon/lib/index.js:4305:35
